run,size,aug,arch,instance_head,seed,set,agent_center_err,agent_count_ok,agent_f1,agent_precision,agent_recall,group_pairing_ok,heading_err_deg,iou_agent,iou_background,iou_goal_region,iou_obstacle,iou_start_region,iou_wall,miou,n_agents,n_scenes,obst_center_err,obst_count_ok,obst_precision,obst_radius_err,obst_recall,parse_fail,pixacc,region_count_ok,region_iou,scene_usable,wall_iou,wall_surface_err
s128_a2_unet24x4_seed0,128,2,unet24x4,0,0,test_spacing/gap1.0,0.3761471679967582,0.57,0.9044262774262773,0.9722936507936507,0.8599603174603174,1.0,28.254081419290355,0.9465553489332581,0.9990342478147746,0.9998527961970937,0.9655557150106917,0.9929712737753876,0.9969495619101091,0.9839661696447384,1804,300,0.20107801207403248,1.0,1.0,0.2727704051357065,1.0,0.0,0.9989544677734375,1.0,0.924271441093186,0.5666666666666667,0.9969495619101091,0.3071236144363259
s128_a2_unet24x4_seed0,128,2,unet24x4,0,0,test_spacing/gap2.0,0.3863493788545507,0.59,0.9258699078699079,0.9947222222222221,0.8802420634920636,1.0,24.722624884826267,0.9480837639560379,0.9988838899274327,0.9996305434957878,0.9616595102274594,0.9927193655903624,0.9969561672448102,0.9835376628143363,1829,300,0.19984553762882779,0.99,0.9969444444444445,0.2706722673567679,1.0,0.0,0.9988802083333334,1.0,0.9243234296426657,0.5866666666666667,0.9969561672448102,0.3053173002554104
s128_a2_unet24x4_seed0,128,2,unet24x4,0,0,test_spacing/gap4.0,0.39841941369035594,0.58,0.9187186332186331,0.9906111111111111,0.8716190476190475,1.0,24.768941793289947,0.947023679114063,0.9989998713146415,0.9998671364271401,0.9745810078304692,0.9930710727523393,0.9964904763198956,0.9852920171286231,1820,300,0.20539952842156445,0.99,0.9976666666666667,0.27336897503597324,1.0,0.0,0.998868408203125,1.0,0.9231766041452507,0.5733333333333334,0.9964904763198956,0.3075933159949879
s128_a2_unet24x4_seed0,128,2,unet24x4,0,0,test_dense,0.2979324720592488,0.96,0.99676225286319,0.9982684676434677,0.9953677572427573,1.0,23.99384070003268,0.9509680936331321,0.9983846063982624,0.9998378362220166,0.9881429128385055,0.9831800842221624,0.9974603238901442,0.9863271686728323,4092,300,0.19342102955625348,0.99,0.9966666666666667,0.27170026246425144,1.0,0.0,0.9982790120442708,1.0,0.923382583872542,0.9366666666666666,0.9974603238901442,0.30775473010726273
s128_a2_unet24x4_seed1,128,2,unet24x4,0,1,test,0.28795529613932236,0.995,0.9984733766233767,0.998954761904762,0.998097619047619,1.0,8.432652099107507,0.9617582694301766,0.9989841011186491,0.9974888586413786,0.9960260352929056,0.9959491310483916,0.9989461841817069,0.9914119923955188,4597,1000,0.1707582939699178,1.0,1.0,0.27767328189440893,1.0,0.0,0.9993153686523437,1.0,0.9232363082276295,0.989,0.9989461841817069,0.30307374310214075
s128_a2_unet24x4_seed1,128,2,unet24x4,0,1,test_aug3,0.26231117643017693,0.995,0.9993262515262515,0.9997142857142858,0.9989964285714287,0.98,9.672582843079134,0.8874438430470968,0.9795567895846043,0.9979635699317853,0.9747204985010939,0.9763679795132871,0.9229337253808468,0.9560342186968377,4537,1000,0.1047586407909114,1.0,1.0,0.25001908993606536,1.0,0.0,0.9882996826171875,1.0,0.9161669395781298,0.973,0.9229337253808468,0.3040209879633039
s128_a2_unet24x4_seed1,128,2,unet24x4,0,1,test_spacing/gap0.0,0.4010982502227402,0.4033333333333333,0.8839088504088504,0.9775,0.821813492063492,1.0,31.961124979034587,0.946124105359258,0.9989839276071528,0.997557229261591,0.9963461753260132,0.9925406653515616,0.999336884495685,0.9882414042218227,1811,300,0.17478607862853737,1.0,1.0,0.27915334286918286,1.0,0.0,0.9991035970052083,1.0,0.9229289658573561,0.39666666666666667,0.999336884495685,0.30092667943487567
s128_a2_unet24x4_seed1,128,2,unet24x4,0,1,test_spacing/gap0.5,0.392755429009727,0.5433333333333333,0.9144561549561548,0.9889365079365079,0.8656785714285714,1.0,28.241947460127182,0.9479961802356119,0.9990068897501109,0.9979309182823666,0.9956564968800069,0.9933776698133306,0.9988726059936746,0.9886175458367061,1766,300,0.17384497395263146,1.0,1.0,0.2816252818416561,1.0,0.0,0.9991280110677083,1.0,0.9227370603656179,0.5366666666666666,0.9988726059936746,0.3019024881844719
s128_a2_unet24x4_seed1,128,2,unet24x4,0,1,test_spacing/gap1.0,0.38232849126225793,0.55,0.9074744144744143,0.9775476190476189,0.8611269841269841,1.0,27.462609146101652,0.9497822306366557,0.9986978208419589,0.9965690842521391,0.995970051864359,0.993232459203463,0.9991217809999746,0.9886854424472,1804,300,0.1722177523248737,1.0,1.0,0.27941065907551293,1.0,0.0,0.99903564453125,1.0,0.9234440991861028,0.5366666666666666,0.9991217809999746,0.3035321446368471
s128_a2_unet24x4_seed1,128,2,unet24x4,0,1,test_spacing/gap2.0,0.38488177836952286,0.58,0.9231325526325528,0.9887777777777778,0.8788214285714286,1.0,25.12284923660136,0.9503954909026692,0.9986961865222918,0.9965353721366862,0.9965529940954252,0.9932307657839412,0.9991963983135222,0.988863457143677,1829,300,0.16988741825517836,1.0,1.0,0.27981055850687886,1.0,0.0,0.9990338134765625,1.0,0.9237209048397769,0.58,0.9991963983135222,0.3005274064295615
s128_a2_unet24x4_seed1,128,2,unet24x4,0,1,test_spacing/gap4.0,0.3940334393061062,0.5766666666666667,0.9154078329078328,0.9870555555555556,0.8691507936507935,1.0,23.81994017144214,0.9511655922806752,0.9989218271993778,0.9974769628668004,0.9956555470947762,0.9935879963534394,0.99904567788101,0.9891643036915472,1820,300,0.17161027009398458,1.0,1.0,0.2821269054117773,1.0,0.0,0.9991202799479166,1.0,0.92246562542797,0.5766666666666667,0.99904567788101,0.30341067487218726
s128_a2_unet24x4_seed1,128,2,unet24x4,0,1,test_dense,0.2913275629761366,0.9433333333333334,0.9946076228450302,0.9963836441336442,0.9930098512598514,1.0,22.01695625375577,0.956092341209628,0.9985210940223513,0.9977906506403095,0.996230055740132,0.9853020733683429,0.9992901300643521,0.9888677550637694,4092,300,0.17066824931025712,1.0,1.0,0.2785634882019191,1.0,0.0,0.9986210123697916,1.0,0.9219398671810601,0.92,0.9992901300643521,0.30470470086826634
